layer	source	target	run	acl	advcl	advmod	amod	appos	aux	case	cc	ccomp	clf	compound	conj	cop	csubj	dep	det	discourse	dislocated	expl	fixed	flat	goeswith	iobj	list	mark	nmod	nsubj	nummod	obj	obl	orphan	parataxis	reparandum	vocative	xcomp
4	ar	en	2	0.8257	0.3261	0.595	0.8532	0.4098	0.9122	0.9439	0.83	0.7222			0.7731	0.6667	0.4857	0.5526	0.8496				0.7712	0.5714		0.188		0.7495	0.8359	0.7512	0.8165	0.6127	0.6187	0	0.9223			0.5603
0	ar	en	3	0.6774	0.1459	0.5945	0.8212	0.1875	0.915	0.8554	0.8392	0.5421			0.3732	0.4331	0.3492	0.3768	0.8416				0.4638	0.6047		0.0777		0.515	0.7246	0.5216	0.7458	0.4378	0.4297	0	0.8948			0.4626
1	ar	en	3	0.8047	0.4299	0.5915	0.8593	0.4182	0.9184	0.9406	0.8449	0.689			0.7342	0.6707	0.5	0.4933	0.8435				0.6538	0.5778		0.2324		0.6804	0.8238	0.708	0.7688	0.5736	0.5982	0	0.9019			0.5019
2	ar	en	3	0.8077	0.4444	0.5738	0.8511	0.381	0.9078	0.9418	0.8388	0.7233			0.766	0.6444	0.5333	0.5921	0.8325				0.68	0.5217		0.2128		0.725	0.8307	0.7449	0.7753	0.5927	0.6095	0	0.9279			0.5512
3	ar	en	3	0.8231	0.4658	0.5881	0.8629	0.3486	0.9158	0.9431	0.8246	0.7237			0.7693	0.703	0.5455	0.5641	0.8429				0.7564	0.6087		0.177		0.7417	0.8313	0.7458	0.7863	0.6001	0.6104	0	0.9203			0.5811
4	ar	en	3	0.8302	0.4037	0.5941	0.8614	0.431	0.9079	0.9454	0.8317	0.7099			0.7754	0.6982	0.48	0.5733	0.8579				0.7784	0.6415		0.1629		0.7627	0.8375	0.753	0.8015	0.6141	0.6135	0	0.9201			0.5625
0	es	en	1	0.592	0.3843	0.8743	0.7796	0.27	0.8929	0.978	0.9589	0.4857		0	0.3219	0.8659	0.3214	0.4848	0.9708				0.8416	0.5189		0.8924		0.9065	0.6624	0.4245	0.8478	0.564	0.5701		0			0.5192
1	es	en	1	0.7492	0.5255	0.8747	0.8588	0.5831	0.9234	0.9826	0.974	0.6824		0	0.6464	0.8805	0.5424	0.5	0.9814				0.916	0.7826		0.8848		0.9547	0.8635	0.6667	0.882	0.6925	0.7303		0.0769			0.6491
2	es	en	1	0.769	0.5741	0.8684	0.8802	0.6069	0.9486	0.9805	0.9698	0.6909		0	0.6772	0.9194	0.5283	0.5333	0.986				0.9244	0.7738		0.8899		0.9378	0.8604	0.7213	0.9096	0.7308	0.7449		0.122			0.6667
3	es	en	1	0.7776	0.5646	0.8845	0.8777	0.6509	0.9401	0.9811	0.9727	0.7456		0	0.7294	0.9134	0.4912	0.5333	0.9869				0.9198	0.836		0.8919		0.9398	0.8959	0.7612	0.9101	0.783	0.807		0.075			0.6721
4	es	en	1	0.8535	0.8146	0.8827	0.8919	0.7213	0.9673	0.9805	0.9753	0.8383		0	0.898	0.9286	0.5965	0.5294	0.9863				0.9421	0.8626		0.9169		0.9342	0.9337	0.8721	0.9096	0.832	0.8826		0.6667			0.7521
0	es	en	2	0.5908	0.4143	0.8752	0.7715	0.3504	0.8863	0.9783	0.9602	0.4966		0	0.3019	0.8667	0.386	0.5333	0.9731				0.8584	0.5261		0.8884		0.9125	0.6697	0.4234	0.8475	0.5856	0.5602		0.0556			0.5586
